GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
checkpoint2,exception,GlobalExceptionHandler,85,28,0,0,14,7,2,2,2,2
checkpoint2,exception,ResourceNotFoundException,0,4,0,0,0,1,0,1,0,1
checkpoint2,app,Checkpoint2Application,5,3,0,0,2,1,1,1,1,1
checkpoint2,controller,AuthorController,8,47,0,0,2,13,1,6,1,6
checkpoint2,controller,BookController,28,6,0,0,6,3,5,1,5,1
checkpoint2,service.impl,BookServiceImpl,151,12,6,0,28,5,12,1,9,1
checkpoint2,service,AuthorServiceImpl,32,105,0,2,6,25,3,8,3,7
checkpoint2,mapper,AuthorMapperImpl,0,39,0,4,0,14,0,5,0,3
checkpoint2,mapper,BookMapperImpl,60,3,8,0,13,1,6,1,2,1
checkpoint2,dto,BookRecord,35,0,8,0,6,0,5,0,1,0
checkpoint2,dto,AuthorRecord,10,22,4,4,2,4,4,1,0,1
checkpoint2,entity,Author,42,43,0,0,13,12,5,8,5,8
checkpoint2,entity,Book,28,3,0,0,8,1,8,1,8,1
